id,check_time,instance_type,vcpus,sustained_clock_speed_ghz,memory_mib,gpus,on_demand_hibernation_support,burstable_performance_support,current_generation,interruption_rate
165,'03/26/2020 08:37',m5ad.xlarge,4,2.2,16384,0,FALSE,FALSE,TRUE,unlikely
166,'03/26/2020 08:37',m5d.xlarge,4,3.1,16384,0,FALSE,FALSE,TRUE,unlikely
167,'03/26/2020 08:37',m5dn.xlarge,4,3.1,16384,0,FALSE,FALSE,TRUE,unlikely
168,'03/26/2020 08:37',m5n.xlarge,4,3.1,16384,0,FALSE,FALSE,TRUE,unlikely
169,'03/26/2020 08:37',r5a.xlarge,4,2.5,32768,0,FALSE,FALSE,TRUE,unlikely
170,'03/26/2020 08:37',r5ad.xlarge,4,2.2,32768,0,FALSE,FALSE,TRUE,unlikely
171,'03/26/2020 08:37',r5d.xlarge,4,3.1,32768,0,FALSE,FALSE,TRUE,unlikely
172,'03/26/2020 08:37',r5d.xlarge,4,3.1,32768,0,FALSE,FALSE,TRUE,unlikely
173,'03/26/2020 08:37',t3a.xlarge,4,2.2,16384,0,FALSE,TRUE,TRUE,unlikely
174,'03/26/2020 08:37',c5d.large,2,3.4,4096,0,FALSE,FALSE,TRUE,unlikely
175,'03/26/2020 08:37',c5d.large,2,3.4,4096,0,FALSE,FALSE,TRUE,unlikely
176,'03/26/2020 08:37',i3en.large,2,3.1,16384,0,FALSE,FALSE,TRUE,unlikely
177,'03/26/2020 08:37',i3en.large,2,3.1,16384,0,FALSE,FALSE,TRUE,unlikely
178,'03/26/2020 08:37',m5.large,2,3.1,8192,0,TRUE,FALSE,TRUE,unlikely
179,'03/26/2020 08:37',m5.large,2,3.1,8192,0,TRUE,FALSE,TRUE,unlikely
180,'03/26/2020 08:37',m5ad.large,2,2.2,8192,0,FALSE,FALSE,TRUE,unlikely
181,'03/26/2020 08:37',m5d.large,2,3.1,8192,0,FALSE,FALSE,TRUE,unlikely
182,'03/26/2020 08:37',m5d.large,2,3.1,8192,0,FALSE,FALSE,TRUE,unlikely
183,'03/26/2020 08:37',m5dn.large,2,3.1,8192,0,FALSE,FALSE,TRUE,unlikely
184,'03/26/2020 08:37',m5dn.large,2,3.1,8192,0,FALSE,FALSE,TRUE,unlikely
185,'03/26/2020 08:37',r4.large,2,2.3,15616,0,TRUE,FALSE,TRUE,unlikely
186,'03/26/2020 08:37',r5a.large,2,2.5,16384,0,FALSE,FALSE,TRUE,unlikely
187,'03/26/2020 08:37',r5d.large,2,3.1,16384,0,FALSE,FALSE,TRUE,unlikely
188,'03/26/2020 08:37',r5dn.large,2,3.1,16384,0,FALSE,FALSE,TRUE,unlikely
189,'03/26/2020 08:37',r5n.large,2,3.1,16384,0,FALSE,FALSE,TRUE,unlikely
190,'03/26/2020 08:37',t3.large,2,2.5,8192,0,FALSE,TRUE,TRUE,unlikely
191,'03/26/2020 08:37',t3.micro,2,2.5,1024,0,FALSE,TRUE,TRUE,unlikely
192,'03/26/2020 08:37',t3.nano,2,2.5,512,0,FALSE,TRUE,TRUE,unlikely
193,'03/26/2020 08:37',t3.small,2,2.5,2048,0,FALSE,TRUE,TRUE,unlikely
194,'03/26/2020 08:37',t3a.large,2,2.2,8192,0,FALSE,TRUE,TRUE,unlikely
195,'03/26/2020 08:37',t3a.medium,2,2.2,4096,0,FALSE,TRUE,TRUE,unlikely
196,'03/26/2020 08:37',t3a.nano,2,2.2,512,0,FALSE,TRUE,TRUE,unlikely
197,'03/26/2020 08:37',t3a.small,2,2.2,2048,0,FALSE,TRUE,TRUE,unlikely
198,'03/26/2020 08:37',t3a.small,2,2.2,2048,0,FALSE,TRUE,TRUE,unlikely
199,'03/26/2020 08:37',g4dn.2xlarge,8,2.5,32768,1,FALSE,FALSE,TRUE,unlikely
200,'03/26/2020 08:37',m5.2xlarge,8,3.1,32768,0,TRUE,FALSE,TRUE,unlikely
201,'03/26/2020 08:37',m5ad.2xlarge,8,2.2,32768,0,FALSE,FALSE,TRUE,unlikely
202,'03/26/2020 08:37',m5d.2xlarge,8,3.1,32768,0,FALSE,FALSE,TRUE,unlikely
203,'03/26/2020 08:37',r4.2xlarge,8,2.3,62464,0,TRUE,FALSE,TRUE,unlikely
204,'03/26/2020 08:37',r5.2xlarge,8,3.1,65536,0,TRUE,FALSE,TRUE,unlikely
205,'03/26/2020 08:37',r5a.2xlarge,8,2.5,65536,0,FALSE,FALSE,TRUE,unlikely
206,'03/26/2020 08:37',r5n.2xlarge,8,3.1,65536,0,FALSE,FALSE,TRUE,unlikely
207,'03/26/2020 08:37',t3.2xlarge,8,2.5,32768,0,FALSE,TRUE,TRUE,unlikely
208,'03/26/2020 08:37',c5.12xlarge,48,3.6,98304,0,TRUE,FALSE,TRUE,unlikely
209,'03/26/2020 08:37',m5.12xlarge,48,3.1,196608,0,FALSE,FALSE,TRUE,unlikely
210,'03/26/2020 08:37',c5.18xlarge,72,3.4,147456,0,TRUE,FALSE,TRUE,unlikely
211,'03/26/2020 08:37',c5.24xlarge,96,3.6,196608,0,FALSE,FALSE,TRUE,unlikely
212,'03/26/2020 08:37',i3en.24xlarge,96,3.1,786432,0,FALSE,FALSE,TRUE,unlikely
